word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
mawkish,adj.,characterized by sick sentimentality,"Although some nineteenthcentury critics viewed Dickens’s writing as mawkish, contemporary readers have found great emotional depth in his works.","Although some nineteenthcentury critics viewed Dickens’s writing as _______, contemporary readers have found great emotional depth in his works.",,,,,,,
maxim,n.,a common saying expressing a principle of conduct,Miss Manners’s etiquette maxims are both entertaining and instructional.,Miss Manners’s etiquette _____s are both entertaining and instructional.,,,,,,,
meager,adj.,deficient in size or quality,My meager portion of food did nothing to satisfy my appetite.,My ______ portion of food did nothing to satisfy my appetite.,,,,,,,
medley,n.,a mixture of differing things,"Susannah’s wardrobe contained an astonishing medley of colors, from olive green to fluorescent pink.","Susannah’s wardrobe contained an astonishing ______ of colors, from olive green to fluorescent pink.",,,,,,,
mendacious,adj.,"having a lying, false character",The mendaciouscontent of the tabloid magazines is at least entertaining.,The __________content of the tabloid magazines is at least entertaining.,,,,,,,
mercurial,adj.,characterized by rapid change or temperamentality,"Though he was widely respected for his mathematical proofs, the mercurial genius was impossible to live with.","Though he was widely respected for his mathematical proofs, the _________ genius was impossible to live with.",,,,,,,
meritorious,adj.,worthy of esteem or reward,Manfred was given the congressional medal of honor for his meritorious actions.,Manfred was given the congressional medal of honor for his ___________ actions.,,,,,,,
metamorphosis,n.,"the change of form, shape, substance",Winnifred went to the gym every day for a year and underwent a metamorphosis from a waiflike girl to an athletic woman.,Winnifred went to the gym every day for a year and underwent a _____________ from a waiflike girl to an athletic woman.,,,,,,,
meticulous,adj.,extremely careful with details,The ornate needlework in the bride’s gown was a product of meticulous handiwork.,The ornate needlework in the bride’s gown was a product of __________ handiwork.,,,,,,,
mitigate,v.,"to make less violent, alleviate  moderate 1.  not extreme  2.  one who expresses moderate opinions","When I had an awful sore throat, only warm tea would mitigate the pain.","When I had an awful sore throat, only warm tea would ________ the pain.",,,,,,,
modicum,n.,a small amount of something,"Refusing to display even a modicum of sensitivity, Henrietta announced her boss’s affair in front of the entire office.","Refusing to display even a _______ of sensitivity, Henrietta announced her boss’s affair in front of the entire office.",,,,,,,
modulate,v.,"to pass from one state to another, especially in music",The composer wrote a piece that modulated between minor and major keys.,The composer wrote a piece that ________d between minor and major keys.,,,,,,,
mollify,v.,to soften in temper  N SAT Vocabulary,The police officer mollified the angry woman by giving her a warning instead of a ticket.,The police officer mollified the angry woman by giving her a warning instead of a ticket.,,,,,,,
morass,n.,"a wet swampy bog; figuratively, something that traps and confuses","When Theresa lost her job, she could not get out of her financial morass.","When Theresa lost her job, she could not get out of her financial ______.",,,,,,,
mores,n.,the moral attitudes and fixed customs of a group of people.,Mores change over time; many things that were tolerated in 1975 are no longer seen as being socially acceptable.,_____ change over time; many things that were tolerated in 1975 are no longer seen as being socially acceptable.,,,,,,,
morose,adj.,gloomy or sullen,Jason’s morose nature made him very unpleasant to talk to.,Jason’s ______ nature made him very unpleasant to talk to.,,,,,,,
multifarious,adj.,having great diversity or variety,"This Swiss Army knife has multifarious functions and capabilities. Among other things, it can act as a knife, a saw, a toothpick, and a slingshot.","This Swiss Army knife has ____________ functions and capabilities. Among other things, it can act as a knife, a saw, a toothpick, and a slingshot.",,,,,,,
mundane,adj.,"concerned with the world rather than with heaven, commonplace",He is more concerned with the mundane issues of day-to-day life than with spiritual topics.,He is more concerned with the _______ issues of day-to-day life than with spiritual topics.,,,,,,,
munificence,n.,generosity in giving,The royal family’s munificence made everyone else in their country rich.,The royal family’s ___________ made everyone else in their country rich.,,,,,,,
mutable,adj.,able to change,"Because fashion is so mutable, what is trendy today will look outdated in five years.","Because fashion is so _______, what is trendy today will look outdated in five years.",,,,,,,
myriad,adj.,consisting of a very great number  N,It was difficult to decide what to do Friday night because the city presented us with myriad possibilities for fun.,It was difficult to decide what to do Friday night because the city presented us with ______ possibilities for fun.,,,,,,,
nadir,n.,the lowest point of something,"My day was boring, but the nadir came when I accidentally spilled a bowl of spaghetti on my head.","My day was boring, but the _____ came when I accidentally spilled a bowl of spaghetti on my head.",,,,,,,
nascent,adj.,in the process of being born or coming into existence,"Unfortunately, my brilliant paper was only in its nascent form on the morning that it was due.","Unfortunately, my brilliant paper was only in its _______ form on the morning that it was due.",,,,,,,
nebulous,adj.,"vaguely defined, cloudy",The transition between governments meant that who was actually in charge was a nebulous matter.,The transition between governments meant that who was actually in charge was a ________ matter.,,,,,,,
nefarious,adj.,heinously villainous,"Although Dr. Meanman’s nefarious plot to melt the polar icecaps was terrifying, it was so impractical that nobody really worried about it.","Although Dr. Meanman’s _________ plot to melt the polar icecaps was terrifying, it was so impractical that nobody really worried about it.",,,,,,,
negligent,adj.,"habitually careless, neglectful  SAT Vocabulary O",Jessie’s grandfather called me a negligent fool after I left the door to his apartment unlocked even though there had been a recent string of robberies.,Jessie’s grandfather called me a _________ fool after I left the door to his apartment unlocked even though there had been a recent string of robberies.,,,,,,,
neophyte,n.,someone who is young or inexperienced,"As a neophyte in the literary world, Malik had trouble finding a publisher for his first novel.","As a ________ in the literary world, Malik had trouble finding a publisher for his first novel.",,,,,,,
nocturnal,adj.,relating to or occurring during the night,Jackie was a nocturnal person; she would study until dawn and sleep until the evening.,Jackie was a _________ person; she would study until dawn and sleep until the evening.,,,,,,,
noisome,adj.,"unpleasant, offensive, especially to the sense of smell",Nobody would enter the stalls until the horse’s noisome leavings were taken away.,Nobody would enter the stalls until the horse’s _______ leavings were taken away.,,,,,,,
nomadic,adj.,wandering from place to place,"In the first six months after college, Jose led a nomadic life, living in New York, California, and Idaho.","In the first six months after college, Jose led a _______ life, living in New York, California, and Idaho.",,,,,,,
nominal,adj.,"trifling, insignificant","Because he was moving the following week and needed to get rid of his furniture more than he needed money, Jordan sold everything for a nominal fee.","Because he was moving the following week and needed to get rid of his furniture more than he needed money, Jordan sold everything for a _______ fee.",,,,,,,
nonchalant,adj.,"having a lack of concern, indifference","Although deep down she was very angry, Marsha acted in a nonchalant manner when she found out that her best friend had used her clothing without asking.","Although deep down she was very angry, Marsha acted in a __________ manner when she found out that her best friend had used her clothing without asking.",,,,,,,
